Filename,GPU Throughput (MPixels/s)
run_1.log,616.65
run_2.log,672.94
run_3.log,743.33
run_4.log,721.08
run_5.log,715.86
run_6.log,697.39
run_7.log,721.33
run_8.log,702.34
run_9.log,704.63
run_10.log,750.94
run_11.log,692.37
run_12.log,707.35
run_13.log,711.44
run_14.log,704.57
run_15.log,729.08
run_16.log,677.43
run_17.log,704.8
run_18.log,646.2
run_19.log,697.47
run_20.log,703.77
run_21.log,701.16
run_22.log,696.43
run_23.log,677.16
run_24.log,733.1
run_25.log,719.06
,
--- STATISTICS (Excluding Min/Max) ---,
Average,703.4909
Standard Deviation,21.3901
Note,(Removed min: 616.65 and max: 750.94)
