Filename,CPU GInt/s,GPU GInt/s,Note
run_1.log,0.148,,
run_2.log,0.148,,
run_3.log,0.149,,
run_4.log,0.149,,
run_5.log,0.15,,
run_6.log,0.148,,
run_7.log,0.15,,
run_8.log,0.147,,
run_9.log,0.149,,
run_10.log,0.147,,
run_11.log,0.15,,
run_12.log,0.146,,
run_13.log,0.145,,
run_14.log,0.147,,
run_15.log,0.146,,
run_16.log,0.147,,
run_17.log,0.147,,
run_18.log,0.147,,
run_19.log,0.15,,
run_20.log,0.148,,
run_21.log,0.15,,
run_22.log,0.149,,
run_23.log,0.148,,
run_24.log,0.149,,
run_25.log,0.151,,
,,,
--- STATISTICS ---,,,
CPU Average,0.1482,,"(n=25, removed min/max)"
CPU Std Dev,0.0013,,
GPU Average,,0.0000,No data
GPU Std Dev,,0.0000,
